"","Phecode","ICD","ICD910","code"
"1","008_","ICD9:001","ICD9","001"
"2","008_","ICD9:001.0","ICD9","0010"
"3","008_","ICD9:001.1","ICD9","0011"
"4","008_","ICD9:001.9","ICD9","0019"
"5","008_","ICD9:002","ICD9","002"
"6","008_","ICD9:002.1","ICD9","0021"
"7","008_","ICD9:002.2","ICD9","0022"
"8","008_","ICD9:002.3","ICD9","0023"
"9","008_","ICD9:002.9","ICD9","0029"
"10","008_","ICD9:005.9","ICD9","0059"
"11","008_","ICD9:006","ICD9","006"
"12","008_","ICD9:006.0","ICD9","0060"
"13","008_","ICD9:006.2","ICD9","0062"
"14","008_","ICD9:006.3","ICD9","0063"
"15","008_","ICD9:006.4","ICD9","0064"
"16","008_","ICD9:006.5","ICD9","0065"
"17","008_","ICD9:006.6","ICD9","0066"
"18","008_","ICD9:006.8","ICD9","0068"
"19","008_","ICD9:006.9","ICD9","0069"
"20","008_","ICD9:007","ICD9","007"
"21","008_","ICD9:007.2","ICD9","0072"
"22","008_","ICD9:007.3","ICD9","0073"
"23","008_","ICD9:007.5","ICD9","0075"
"24","008_","ICD9:007.9","ICD9","0079"
"25","008_","ICD9:008","ICD9","008"
"26","008_","ICD9:009","ICD9","009"
"27","008_","ICD9:009.0","ICD9","0090"
"28","008_","ICD9:009.1","ICD9","0091"
"29","008_","ICD9:009.2","ICD9","0092"
"30","008_","ICD9:009.3","ICD9","0093"
"31","008_","ICD9:021.1","ICD9","0211"
"32","008_","ICD9:022.2","ICD9","0222"
"63","008_","ICD9:002.0","ICD9","0020"
"64","008_","ICD9:003","ICD9","003"
"65","008_","ICD9:003.0","ICD9","0030"
"66","008_","ICD9:003.2","ICD9","0032"
"67","008_","ICD9:003.20","ICD9","00320"
"68","008_","ICD9:003.29","ICD9","00329"
"69","008_","ICD9:003.8","ICD9","0038"
"70","008_","ICD9:003.9","ICD9","0039"
"71","008_","ICD9:004","ICD9","004"
"72","008_","ICD9:004.0","ICD9","0040"
"73","008_","ICD9:004.1","ICD9","0041"
"74","008_","ICD9:004.2","ICD9","0042"
"75","008_","ICD9:004.3","ICD9","0043"
"76","008_","ICD9:004.8","ICD9","0048"
"77","008_","ICD9:004.9","ICD9","0049"
"78","008_","ICD9:005","ICD9","005"
"79","008_","ICD9:005.0","ICD9","0050"
"80","008_","ICD9:005.1","ICD9","0051"
"81","008_","ICD9:005.2","ICD9","0052"
"82","008_","ICD9:005.3","ICD9","0053"
"83","008_","ICD9:005.4","ICD9","0054"
"84","008_","ICD9:005.8","ICD9","0058"
"85","008_","ICD9:005.81","ICD9","00581"
"86","008_","ICD9:005.89","ICD9","00589"
"87","008_","ICD9:008.1","ICD9","0081"
"88","008_","ICD9:008.2","ICD9","0082"
"89","008_","ICD9:008.3","ICD9","0083"
"90","008_","ICD9:008.4","ICD9","0084"
"91","008_","ICD9:008.41","ICD9","00841"
"92","008_","ICD9:008.42","ICD9","00842"
"93","008_","ICD9:008.43","ICD9","00843"
"94","008_","ICD9:008.44","ICD9","00844"
"95","008_","ICD9:008.46","ICD9","00846"
"96","008_","ICD9:008.47","ICD9","00847"
"97","008_","ICD9:008.49","ICD9","00849"
"98","008_","ICD9:008.5","ICD9","0085"
"133","008_","ICD9:008.0","ICD9","0080"
"134","008_","ICD9:008.00","ICD9","00800"
"135","008_","ICD9:008.01","ICD9","00801"
"136","008_","ICD9:008.02","ICD9","00802"
"137","008_","ICD9:008.03","ICD9","00803"
"138","008_","ICD9:008.04","ICD9","00804"
"139","008_","ICD9:008.09","ICD9","00809"
"145","008_","ICD9:008.45","ICD9","00845"
"149","008_","ICD9:008.6","ICD9","0086"
"150","008_","ICD9:008.61","ICD9","00861"
"151","008_","ICD9:008.62","ICD9","00862"
"152","008_","ICD9:008.63","ICD9","00863"
"153","008_","ICD9:008.64","ICD9","00864"
"154","008_","ICD9:008.65","ICD9","00865"
"155","008_","ICD9:008.66","ICD9","00866"
"156","008_","ICD9:008.67","ICD9","00867"
"157","008_","ICD9:008.69","ICD9","00869"
"158","008_","ICD9:008.8","ICD9","0088"
"171","008_","ICD9:006.1","ICD9","0061"
"172","008_","ICD9:007.0","ICD9","0070"
"173","008_","ICD9:007.1","ICD9","0071"
"174","008_","ICD9:007.4","ICD9","0074"
"175","008_","ICD9:007.8","ICD9","0078"
"181","008_5","ICD9:002.0","ICD9","0020"
"182","008_5","ICD9:003","ICD9","003"
"183","008_5","ICD9:003.0","ICD9","0030"
"184","008_5","ICD9:003.2","ICD9","0032"
"185","008_5","ICD9:003.20","ICD9","00320"
"186","008_5","ICD9:003.29","ICD9","00329"
"187","008_5","ICD9:003.8","ICD9","0038"
"188","008_5","ICD9:003.9","ICD9","0039"
"189","008_5","ICD9:004","ICD9","004"
"190","008_5","ICD9:004.0","ICD9","0040"
